CGA ,Série ,RGN ,RGD ,Genotipado ,IGe,ACC_IGe,DIPP,ACC_DIPP,DPE365,ACC_DPE365,DPE450,ACC_DPE450,DPN,ACC_DPN,MP120,ACC_MP120,MP210,ACC_MP210,DP120,ACC_DP120,DP210,ACC_DP210,DP365,ACC_DP365,DP450,ACC_DP450,DPAC,ACC_DPAC
3086129,AGMI,E9908,,,"4,95",21,"-0,30",10,"0,14",23,"0,13",19,"0,62",32,"3,04",19,"4,04",19,"0,92",27,"1,20",29,"-0,26",35,"7,24",36,"2,44",11
158461,AGMI,B1437,,,"4,95",4,"-0,21",4,"0,23",3,"0,26",3,"-0,03",3,"1,46",4,"1,85",4,"1,16",4,"1,89",4,"4,10",4,"4,02",4,"2,38",4
2368272,AGMI,E571,,,"4,94",22,"-0,37",13,"0,39",19,"0,46",20,"-0,40",25,"-0,89",18,"-0,99",17,"1,08",24,"2,81",25,"3,90",31,"3,39",33,"0,69",11
168679,AGMI,B3981,,,"4,94",20,"-0,71",14,"-0,24",30,"-0,70",34,"-0,04",18,"-0,16",17,"0,09",17,"0,67",22,"1,48",23,"1,43",27,"0,26",29,"4,54",13
149900,AGMI,B289,,,"4,94",20,"-0,13",16,"0,28",20,"0,42",21,"0,00",30,"2,94",23,"4,12",23,"1,62",22,"2,17",23,"3,65",25,"2,83",26,"3,77",16
1737993,AGMI,D4128,,,"4,94",26,"-0,35",14,"-0,36",29,"-0,16",30,"-0,94",44,"1,60",23,"2,32",23,"-1,06",32,"-1,83",34,"-1,20",41,"1,45",37,"2,65",15
642442,AGMI,C692,,,"4,94",20,"0,52",5,"0,63",18,"1,06",20,"0,57",41,"1,07",20,"1,57",20,"0,80",26,"2,15",28,"9,20",36,"10,82",38,"1,79",10
999923,AGMI,C4598,,,"4,94",15,"-0,13",4,"0,14",17,"-0,19",16,"1,51",31,"2,30",16,"3,03",16,"1,18",20,"0,08",21,"6,96",29,"9,62",32,"1,62",8
999267,AGMI,C5559,,,"4,94",22,"-0,17",10,"-0,09",18,"-0,65",19,"-0,05",41,"0,70",22,"1,01",21,"1,83",29,"2,32",30,"1,61",35,"2,09",37,"1,00",12
1205097,AGMI,C7617,,,"4,94",16,"0,29",1,"0,28",14,"0,26",16,"0,14",25,"1,46",17,"2,18",17,"1,64",21,"3,55",23,"10,11",30,"9,29",33,"0,74",7
130740,AGMI,6972,,,"4,94",17,"-0,31",12,"0,35",14,"0,40",14,"0,01",17,"1,23",19,"1,47",19,"0,77",17,"1,62",17,"2,92",18,"1,01",19,"1,84",16
1441429,AGMI,D419,,,"4,94",19,"0,21",13,"0,05",16,"0,29",16,"0,34",33,"2,38",18,"3,30",17,"0,56",22,"1,26",22,"4,14",23,"5,58",24,"3,70",11
1967443,AGMI,D6072,,,"4,94",23,"-0,20",14,"-0,16",20,"-0,24",21,"1,46",36,"-1,82",18,"-2,11",18,"1,97",24,"2,74",26,"-2,01",31,"-0,03",34,"1,03",12
1967497,AGMI,D6088,,,"4,94",25,"-0,17",13,"-0,02",31,"-0,28",31,"0,50",42,"0,49",23,"0,34",23,"1,31",29,"0,80",31,"0,19",37,"0,75",40,"2,22",14
319842,AGMI,B5204,,,"4,94",6,"-0,25",4,"-0,03",2,"0,03",2,"-0,35",25,"0,39",3,"0,54",3,"1,70",11,"2,57",12,"4,50",10,"5,90",10,"1,73",4
318422,AGMI,B5491,,,"4,94",15,"-0,45",16,"-0,02",16,"-0,18",17,"1,08",33,"1,44",17,"1,71",17,"1,31",16,"2,25",16,"5,15",17,"4,58",17,"2,07",15
468399,AGMI,B8137,,,"4,94",18,"-0,47",14,"-0,13",15,"0,00",14,"1,22",32,"1,15",18,"1,47",18,"-0,03",22,"0,37",22,"2,47",23,"1,91",24,"2,62",14
999288,AGMI,C5654,,,"4,94",16,"-0,10",10,"0,04",14,"-0,01",13,"0,15",34,"1,01",14,"1,41",14,"2,22",22,"3,74",24,"-0,13",20,"2,51",21,"1,25",10
1738267,AGMI,D4816,,,"4,94",16,"-0,06",11,"0,19",14,"0,27",14,"0,00",34,"0,96",14,"1,50",14,"1,84",22,"2,79",24,"2,35",24,"2,63",24,"3,68",10
1966814,AGMI,D4766,,,"4,94",16,"-0,27",11,"0,38",16,"0,44",16,"-0,09",34,"1,24",15,"1,77",15,"-0,06",18,"-0,55",19,"0,80",22,"1,62",21,"1,52",11
2920631,AGMI,E6950,,,"4,94",15,"-0,61",11,"0,24",18,"0,41",19,"1,24",35,"0,71",16,"0,93",16,"1,05",19,"1,91",19,"2,24",21,"1,11",22,"3,86",12
3663200,AGMI,F4045,,,"4,94",14,"-0,27",7,"0,35",18,"0,39",16,"1,91",36,"0,12",10,"0,37",10,"0,73",19,"0,39",19,"5,07",21,"3,45",22,"4,05",7
169220,AGMI,B4160,,,"4,93",8,"-0,11",1,"0,05",22,"0,08",28,"-0,02",1,"0,23",2,"0,34",2,"2,28",10,"3,94",11,"9,12",17,"10,66",19,"0,68",1
467770,AGMI,B7374,,,"4,93",20,"-0,02",13,"0,37",30,"0,50",35,"1,17",33,"0,10",16,"0,01",16,"0,98",22,"2,68",24,"6,93",28,"5,74",30,"2,09",12
1967715,AGMI,D6478,,,"4,93",19,"0,03",12,"0,02",18,"0,05",17,"0,04",35,"0,90",17,"1,48",17,"-0,65",25,"-0,40",26,"-1,59",26,"-0,93",27,"4,20",12
2386336,AGMI,E386,,,"4,93",9,"-0,16",3,"0,07",6,"0,09",6,"0,17",8,"0,31",5,"0,49",5,"1,86",15,"2,20",16,"9,55",21,"7,91",15,"1,65",3
2920508,AGMI,E7025,,,"4,93",16,"-0,25",7,"0,11",14,"0,18",15,"-0,02",30,"1,73",10,"2,45",10,"1,18",21,"1,78",22,"1,31",28,"2,53",30,"2,12",7
526151,AGMI,B8810,,,"4,93",13,"-0,15",9,"0,18",8,"0,31",7,"-0,25",30,"1,00",11,"1,28",11,"0,12",16,"0,52",17,"1,25",22,"4,59",25,"2,71",5
622170,AGMI,B9031,B9031,,"4,93",10,"-0,19",6,"0,19",2,"0,21",2,"-0,18",27,"0,68",7,"0,89",7,"1,44",13,"2,81",14,"9,36",21,"4,85",23,"2,00",2
1440344,AGMI,C9138,,,"4,93",18,"-0,07",12,"0,11",12,"0,16",12,"0,04",33,"0,21",13,"0,35",13,"1,64",21,"2,66",23,"2,45",23,"2,04",23,"2,81",7
1441310,AGMI,D229,,,"4,93",23,"-0,38",11,"0,36",25,"0,27",24,"-0,17",44,"0,46",21,"0,71",21,"1,55",28,"2,53",30,"4,51",34,"-0,91",36,"2,24",13
2634307,AGMI,E1838,,,"4,93",14,"-0,72",7,"0,19",13,"0,46",8,"0,14",36,"1,07",13,"1,43",13,"2,17",19,"3,62",21,"5,30",27,"5,61",29,"0,19",2
2804351,AGMI,E5228,,,"4,93",11,"-0,10",7,"0,05",9,"0,05",10,"1,59",31,"1,59",10,"2,11",10,"0,38",16,"0,73",17,"7,49",26,"4,78",19,"-0,09",9
2920872,AGMI,E7248,,,"4,93",19,"-0,09",9,"0,21",18,"0,18",17,"-1,28",38,"2,43",16,"3,32",16,"-0,50",24,"0,15",26,"0,23",31,"3,37",27,"4,77",8
158339,AGMI,B1400,,,"4,93",5,"-0,06",4,"0,38",5,"0,55",5,"-0,13",5,"1,14",5,"1,47",5,"0,99",5,"1,88",5,"4,27",5,"3,81",6,"2,95",4
5075097,AGMI,G3561,,,"4,93",17,"-0,37",8,"0,08",18,"0,20",17,"0,91",35,"1,96",10,"2,83",10,"-0,49",22,"-0,01",24,"0,73",30,"0,07",32,"5,93",7
5366309,AGMI,G4838,,,"4,92",8,"-0,14",3,"0,43",5,"0,59",5,"-0,55",28,"0,96",5,"1,36",5,"1,18",14,"2,03",15,"2,68",15,"4,10",14,"3,19",3
5366398,AGMI,G4745,,,"4,92",6,"-0,07",2,"0,11",2,"0,00",2,"0,26",26,"0,78",2,"1,08",2,"2,53",12,"4,05",13,"6,71",12,"6,57",12,"0,23",1
5366487,AGMI,G4946,,,"4,92",14,"-0,54",7,"0,17",16,"0,53",17,"0,06",34,"1,38",10,"1,88",10,"-0,87",22,"-1,73",24,"-1,12",24,"1,39",24,"5,12",6
5366992,AGMI,G5418,,,"4,92",5,"-0,37",2,"0,22",4,"0,22",5,"-0,26",26,"1,42",4,"1,88",4,"0,56",6,"0,63",6,"5,22",7,"5,71",8,"1,57",3
790736,AGMI,C2556,C2556,,"4,92",17,"0,00",8,"0,35",18,"0,20",19,"-0,23",41,"1,57",18,"2,16",18,"1,37",22,"2,13",24,"9,30",32,"8,52",35,"3,33",10
2631995,AGMI,E2051,,,"4,92",21,"-0,32",12,"-0,17",15,"-0,16",15,"1,31",35,"-0,05",15,"-0,03",14,"0,92",24,"1,34",25,"5,00",31,"3,16",33,"4,05",6
1441625,AGMI,D618,,,"4,92",23,"-0,30",16,"-0,34",18,"-0,47",17,"1,43",34,"0,81",17,"1,17",16,"2,55",24,"3,90",24,"3,95",26,"6,00",32,"-1,69",13
1966848,AGMI,D4909,,,"4,92",22,"-0,24",12,"0,10",19,"-0,07",20,"1,53",35,"2,57",15,"3,54",14,"1,68",23,"2,40",25,"9,50",30,"4,66",32,"2,30",8
790000,AGMI,C1237,,,"4,92",7,"-0,19",5,"0,07",4,"0,17",5,"0,05",26,"0,18",4,"0,21",4,"1,57",14,"2,26",14,"4,73",13,"6,37",13,"3,02",4
791102,AGMI,C3538,,,"4,92",6,"-0,05",4,"0,23",2,"0,13",1,"1,13",26,"0,16",3,"0,21",3,"3,48",12,"5,31",13,"7,27",11,"8,62",11,"1,48",4
791148,AGMI,C3638,,,"4,92",8,"-0,40",5,"0,03",5,"0,17",6,"-0,60",27,"0,76",4,"0,98",4,"1,43",12,"1,98",11,"5,46",13,"4,98",13,"3,23",5
1440380,AGMI,C9216,,,"4,92",7,"-0,13",6,"0,24",8,"0,49",8,"0,36",10,"1,27",8,"1,60",8,"1,64",8,"2,67",8,"6,54",9,"6,21",10,"1,12",5
1441402,AGMI,D303,,,"4,92",15,"0,10",8,"0,09",14,"-0,47",14,"0,53",34,"2,07",12,"2,93",12,"2,10",21,"3,24",21,"5,58",24,"5,09",23,"2,67",8
1562703,AGMI,D1999,,,"4,92",17,"-0,31",8,"-0,19",14,"-0,41",14,"0,87",33,"0,44",12,"0,63",12,"1,03",21,"2,04",23,"4,11",28,"1,17",30,"3,10",8
2210258,AGMI,D8054,,,"4,92",18,"-0,20",10,"-0,07",17,"-0,11",18,"0,56",22,"-0,28",15,"-0,20",14,"-0,11",23,"0,33",24,"5,09",29,"3,74",32,"3,03",10
2802393,AGMI,E4793,,,"4,92",16,"-0,20",7,"0,50",18,"0,85",18,"-0,44",35,"0,05",12,"0,24",12,"1,75",23,"3,37",24,"1,01",30,"1,50",26,"4,03",7
2921410,AGMI,E7156,,,"4,92",6,"-0,45",3,"0,09",5,"0,07",6,"-0,24",27,"-0,45",5,"-0,51",5,"1,26",6,"2,33",7,"3,42",8,"3,53",8,"1,68",4
3197334,AGMI,F103,,,"4,92",9,"-0,06",4,"0,17",5,"0,21",5,"0,27",6,"0,09",5,"0,14",5,"2,57",14,"4,25",14,"4,74",14,"4,31",14,"-0,13",4
2386478,AGMI,E849,,,"4,92",11,"-0,34",7,"0,49",12,"0,44",14,"-0,06",20,"2,43",10,"3,35",10,"2,70",9,"4,45",9,"3,01",24,"2,40",27,"2,46",3
2634431,AGMI,E2106,,,"4,92",16,"-0,14",7,"0,16",18,"0,54",20,"-0,29",40,"1,89",15,"2,67",15,"0,87",20,"1,68",22,"6,63",27,"7,43",31,"5,36",9
2802398,AGMI,E4482,,,"4,92",23,"-0,75",16,"0,21",26,"0,07",31,"1,97",40,"-0,69",22,"-0,97",21,"-0,38",26,"-0,30",27,"-1,14",34,"-1,82",31,"1,90",17
3085646,AGMI,E9226,,,"4,92",20,"-0,60",7,"0,44",16,"0,79",21,"0,34",41,"0,60",19,"1,00",19,"0,84",25,"2,13",26,"2,51",32,"2,84",35,"3,92",8
3664514,AGMI,F3866,,,"4,92",10,"0,00",7,"0,26",5,"0,26",5,"-0,46",17,"0,97",8,"1,39",8,"-0,39",8,"-0,33",8,"6,50",22,"6,07",25,"2,53",3
115841,AGMI,4608,,,"4,92",12,"-0,03",11,"0,06",11,"-0,21",13,"0,20",14,"-0,82",13,"-0,95",13,"1,99",14,"3,17",14,"0,13",14,"1,03",15,"1,27",11
123089,AGMI,5554,,,"4,92",11,"-0,03",12,"0,13",10,"-0,26",12,"0,37",13,"-0,61",13,"-0,67",13,"2,25",13,"3,58",13,"1,03",13,"0,92",13,"0,90",11
2367989,AGMI,E53,,,"4,91",22,"-0,30",12,"0,39",23,"0,64",23,"1,07",27,"-0,23",21,"0,08",21,"2,41",26,"4,57",27,"1,97",29,"1,92",29,"3,25",12
3056849,AGMI,E8093,,,"4,91",18,"-0,35",7,"0,26",15,"0,21",16,"0,52",36,"2,07",13,"2,84",13,"0,71",16,"0,40",17,"11,54",29,"3,68",31,"3,44",6
115838,AGMI,4605,,,"4,91",12,"-0,08",11,"0,11",11,"-0,19",12,"0,15",14,"-1,03",13,"-1,22",13,"1,68",13,"2,77",14,"1,52",14,"1,99",14,"1,77",11
160200,AGMI,B2380,,,"4,91",6,,0,"0,78",22,"1,57",27,,0,,0,,0,,0,,0,"8,50",16,"13,79",19,,0
1563092,AGMI,D2442,,,"4,91",25,"-0,04",13,"0,51",25,"0,56",24,"-0,15",48,"-0,68",22,"-0,86",21,"3,06",28,"4,97",30,"5,93",37,"4,53",40,"2,93",13
319976,AGMI,B5416,,,"4,91",13,"-0,10",8,"0,25",8,"0,31",7,"0,94",29,"1,51",10,"1,95",10,"1,06",16,"2,17",17,"5,28",22,"3,73",24,"2,71",7
790588,AGMI,C2044,C2044,,"4,91",15,"0,01",9,"0,16",7,"0,10",7,"-0,35",31,"1,53",13,"2,04",13,"1,58",17,"2,68",18,"3,85",24,"2,57",26,"2,19",8
1441497,AGMI,D404,,,"4,91",20,"0,10",14,"-0,04",14,"-0,49",14,"-0,06",36,"2,66",15,"3,74",15,"0,68",23,"1,97",24,"4,63",24,"4,54",24,"2,83",11
1737407,AGMI,D3271,,,"4,91",20,"-0,17",14,"-0,02",17,"-0,17",16,"0,60",35,"0,38",19,"1,00",19,"0,72",21,"1,04",22,"5,77",32,"5,07",25,"2,85",12
2210005,AGMI,D7896,,,"4,91",24,"0,01",12,"-0,20",19,"-0,21",15,"0,78",39,"0,71",21,"1,26",21,"1,00",27,"1,61",29,"2,90",35,"5,63",36,"0,12",13
2367762,AGMI,D9725,,,"4,91",21,"-0,36",12,"-0,02",17,"0,43",16,"0,54",35,"0,95",15,"1,33",15,"1,17",22,"1,41",24,"4,05",29,"2,24",31,"3,58",8
5366853,AGMI,G5341,,,"4,91",7,"-0,08",2,"0,20",5,"0,23",4,"0,82",27,"1,34",3,"1,80",3,"2,10",12,"3,14",12,"3,82",14,"4,41",14,"2,54",1
790360,AGMI,C2064,,,"4,91",23,"-0,39",18,"0,03",32,"-0,47",36,"1,02",32,"-1,12",19,"-1,27",19,"2,75",25,"3,55",26,"4,36",30,"1,35",33,"1,46",16
