CGA ,Série ,RGN ,RGD ,Genotipado ,IGe,ACC_IGe,DIPP,ACC_DIPP,DPE365,ACC_DPE365,DPE450,ACC_DPE450,DPN,ACC_DPN,MP120,ACC_MP120,MP210,ACC_MP210,DP120,ACC_DP120,DP210,ACC_DP210,DP365,ACC_DP365,DP450,ACC_DP450,DPAC,ACC_DPAC
5075015,AGMI,G3370,,,"7,51",15,"-0,45",5,"-0,19",14,"-0,26",16,"0,88",33,"0,10",6,"0,25",6,"3,63",21,"5,46",23,"6,54",29,"5,40",31,"3,84",4
3384766,AGMI,F3037,,,"7,50",11,"-0,44",6,"0,46",30,"-0,07",15,"-0,51",33,"1,82",9,"2,36",9,"1,95",13,"3,14",14,"7,87",27,"8,23",18,"2,31",6
4230545,AGMI,F8686,,,"7,50",15,"-0,72",7,"0,18",14,"0,33",13,"0,37",34,"1,40",10,"1,88",10,"0,44",22,"0,63",23,"5,16",29,"3,39",24,"4,61",7
4527859,AGMI,F9978,,,"7,50",16,"-0,43",8,"0,06",30,"0,47",30,"-0,03",34,"1,41",10,"1,89",10,"0,38",21,"1,15",22,"8,40",28,"5,13",27,"3,40",7
622670,AGMI,B9919,,,"7,50",9,"-0,19",1,"0,38",23,"0,63",29,"0,76",26,"1,14",4,"1,58",4,"4,85",12,"7,85",13,"11,55",18,"10,98",21,"1,22",1
1203999,AGMI,C6275,,,"7,50",17,"-0,38",10,"0,44",16,"0,76",16,"0,10",34,"2,55",15,"3,37",15,"0,43",23,"1,40",25,"4,73",25,"4,02",25,"4,87",10
1967591,AGMI,D6436,,,"7,50",21,"-0,54",14,"0,19",19,"0,18",20,"0,19",22,"-0,41",18,"-0,66",18,"1,91",25,"2,16",27,"2,38",27,"3,76",28,"1,79",15
2210542,AGMI,D8621,,,"7,50",20,"-0,54",12,"0,16",31,"0,07",35,"1,41",23,"0,55",17,"0,83",17,"2,55",24,"4,58",26,"3,78",31,"4,10",33,"4,07",12
2211225,AGMI,D9480,,,"7,50",17,"-0,70",11,"0,49",30,"0,74",17,"0,74",22,"0,89",16,"1,21",16,"2,35",24,"4,52",25,"1,42",29,"6,26",26,"3,24",12
2801979,AGMI,E3984,,,"7,50",20,"-0,38",10,"0,56",31,"0,75",36,"0,08",34,"1,18",14,"1,67",13,"1,55",23,"2,91",24,"4,70",29,"3,49",32,"3,83",10
